Data,%,Ocupadas
19-01-2013,15.63,10
20-01-2013,48.44,31
21-01-2013,64.06,41
22-01-2013,82.81,53
23-01-2013,84.38,54
24-01-2013,67.19,43
25-01-2013,82.81,53
26-01-2013,76.56,49
27-01-2013,35.94,23
28-01-2013,40.63,26
29-01-2013,53.13,34
30-01-2013,46.88,30
31-01-2013,53.13,34
01-02-2013,40.63,26
02-02-2013,71.88,46
03-02-2013,18.75,12
04-02-2013,48.44,31
05-02-2013,75.00,48
06-02-2013,76.56,49
07-02-2013,64.06,41
08-02-2013,37.50,24
09-02-2013,28.13,18
10-02-2013,15.63,10
11-02-2013,21.88,14
12-02-2013,40.63,26
13-02-2013,35.94,23
14-02-2013,67.19,43
15-02-2013,65.63,42
16-02-2013,56.25,36
17-02-2013,17.19,11
18-02-2013,62.50,40
19-02-2013,93.75,60
20-02-2013,96.88,62
21-02-2013,71.88,46
22-02-2013,48.44,31
23-02-2013,71.88,46
24-02-2013,34.38,22
25-02-2013,53.13,34
26-02-2013,71.88,46
27-02-2013,92.19,59
28-02-2013,95.31,61
01-03-2013,35.94,23
02-03-2013,59.38,38
03-03-2013,15.63,10
04-03-2013,65.63,42
05-03-2013,78.13,50
06-03-2013,78.13,50
07-03-2013,84.38,54
08-03-2013,75.00,48
09-03-2013,96.88,62
10-03-2013,14.06,9
11-03-2013,54.69,35
12-03-2013,87.50,56
13-03-2013,75.00,48
14-03-2013,75.00,48
15-03-2013,76.56,49
16-03-2013,85.94,55
17-03-2013,18.75,12
18-03-2013,78.13,50
19-03-2013,93.75,60
20-03-2013,95.31,61
21-03-2013,90.63,58
22-03-2013,39.06,25
23-03-2013,25.00,16
24-03-2013,21.88,14
25-03-2013,51.56,33
26-03-2013,89.06,57
27-03-2013,60.94,39
28-03-2013,60.94,39
29-03-2013,21.88,14
30-03-2013,25.00,16
31-03-2013,21.88,14
01-04-2013,46.88,30
02-04-2013,65.63,42
03-04-2013,90.63,58
04-04-2013,75.00,48
05-04-2013,71.88,46
06-04-2013,60.94,39
07-04-2013,4.69,3
08-04-2013,62.50,40
09-04-2013,95.31,61
10-04-2013,78.13,50
11-04-2013,57.81,37
12-04-2013,31.25,20
13-04-2013,70.31,45
14-04-2013,14.06,9
15-04-2013,59.38,38
16-04-2013,98.44,63
17-04-2013,87.50,56
18-04-2013,100.00,64
19-04-2013,37.50,24
20-04-2013,54.69,35
21-04-2013,14.06,9
22-04-2013,82.81,53
23-04-2013,93.75,60
24-04-2013,87.50,56
25-04-2013,65.63,42
26-04-2013,73.44,47
27-04-2013,28.13,18
28-04-2013,6.25,4
29-04-2013,29.69,19
30-04-2013,37.50,24
01-05-2013,17.19,11
02-05-2013,59.38,38
03-05-2013,62.50,40
04-05-2013,23.44,15
05-05-2013,14.06,9
06-05-2013,62.50,40
07-05-2013,75.00,48
08-05-2013,98.44,63
09-05-2013,75.00,48
10-05-2013,28.13,18
11-05-2013,34.38,22
12-05-2013,18.75,12
13-05-2013,62.50,40
14-05-2013,70.31,45
15-05-2013,68.75,44
16-05-2013,51.56,33
17-05-2013,62.50,40
18-05-2013,53.13,34
19-05-2013,18.75,12
20-05-2013,100.00,64
21-05-2013,100.00,64
22-05-2013,98.44,63
23-05-2013,78.13,50
24-05-2013,56.25,36
25-05-2013,98.44,63
26-05-2013,64.06,41
27-05-2013,98.44,63
28-05-2013,95.31,61
29-05-2013,56.25,36
30-05-2013,53.13,34
31-05-2013,50.00,32
01-06-2013,39.06,25
02-06-2013,10.94,7
03-06-2013,62.50,40
04-06-2013,96.88,62
05-06-2013,92.19,59
06-06-2013,70.31,45
07-06-2013,48.44,31
08-06-2013,26.56,17
09-06-2013,18.75,12
10-06-2013,71.88,46
11-06-2013,71.88,46
12-06-2013,76.56,49
13-06-2013,64.06,41
14-06-2013,29.69,19
15-06-2013,79.69,51
16-06-2013,14.06,9
17-06-2013,73.44,47
18-06-2013,81.25,52
19-06-2013,90.63,58
20-06-2013,89.06,57
21-06-2013,53.13,34
22-06-2013,31.25,20
23-06-2013,18.75,12
24-06-2013,50.00,32
25-06-2013,53.13,34
26-06-2013,57.81,37
27-06-2013,75.00,48
28-06-2013,28.13,18
29-06-2013,42.19,27
30-06-2013,21.88,14
01-07-2013,67.19,43
02-07-2013,84.38,54
03-07-2013,92.19,59
04-07-2013,70.31,45
05-07-2013,40.63,26
06-07-2013,46.88,30
07-07-2013,31.25,20
08-07-2013,76.56,49
09-07-2013,78.13,50
10-07-2013,62.50,40
11-07-2013,57.81,37
12-07-2013,43.75,28
13-07-2013,43.75,28
14-07-2013,25.00,16
15-07-2013,59.38,38
16-07-2013,75.00,48
17-07-2013,92.19,59
18-07-2013,70.31,45
19-07-2013,14.06,9
20-07-2013,43.75,28
21-07-2013,15.63,10
22-07-2013,64.06,41
23-07-2013,96.88,62
24-07-2013,85.94,55
25-07-2013,89.06,57
26-07-2013,31.25,20
27-07-2013,43.75,28
28-07-2013,25.00,16
29-07-2013,89.06,57
30-07-2013,67.19,43
31-07-2013,85.94,55
01-08-2013,75.00,48
02-08-2013,28.13,18
03-08-2013,67.19,43
04-08-2013,25.00,16
05-08-2013,56.25,36
06-08-2013,76.56,49
07-08-2013,90.63,58
08-08-2013,68.75,44
09-08-2013,29.69,19
10-08-2013,21.88,14
11-08-2013,25.00,16
12-08-2013,70.31,45
13-08-2013,81.25,52
14-08-2013,90.63,58
15-08-2013,51.56,33
16-08-2013,25.00,16
17-08-2013,21.88,14
18-08-2013,40.63,26
19-08-2013,64.06,41
20-08-2013,84.38,54
21-08-2013,89.06,57
22-08-2013,92.19,59
23-08-2013,31.25,20
24-08-2013,28.13,18
25-08-2013,20.31,13
26-08-2013,57.81,37
27-08-2013,90.63,58
28-08-2013,87.50,56
29-08-2013,62.50,40
30-08-2013,54.69,35
31-08-2013,12.50,8
01-09-2013,15.63,10
02-09-2013,54.69,35
03-09-2013,81.25,52
04-09-2013,85.94,55
05-09-2013,87.50,56
06-09-2013,29.69,19
07-09-2013,25.00,16
08-09-2013,14.06,9
09-09-2013,50.00,32
10-09-2013,64.06,41
11-09-2013,73.44,47
12-09-2013,79.69,51
13-09-2013,60.94,39
14-09-2013,82.81,53
15-09-2013,17.19,11
16-09-2013,71.88,46
17-09-2013,71.88,46
18-09-2013,79.69,51
19-09-2013,60.94,39
20-09-2013,26.56,17
21-09-2013,78.13,50
22-09-2013,20.31,13
23-09-2013,76.56,49
24-09-2013,93.75,60
25-09-2013,89.06,57
26-09-2013,64.06,41
27-09-2013,28.13,18
28-09-2013,32.81,21
29-09-2013,9.38,6
30-09-2013,29.69,19
01-10-2013,53.13,34
02-10-2013,82.81,53
03-10-2013,70.31,45
04-10-2013,34.38,22
05-10-2013,28.13,18
06-10-2013,7.81,5
07-10-2013,65.63,42
08-10-2013,89.06,57
09-10-2013,68.75,44
10-10-2013,68.75,44
11-10-2013,54.69,35
12-10-2013,50.00,32
13-10-2013,10.94,7
14-10-2013,56.25,36
15-10-2013,68.75,44
16-10-2013,96.88,62
17-10-2013,54.69,35
18-10-2013,26.56,17
19-10-2013,25.00,16
20-10-2013,7.81,5
21-10-2013,51.56,33
22-10-2013,90.63,58
23-10-2013,73.44,47
24-10-2013,64.06,41
25-10-2013,35.94,23
26-10-2013,34.38,22
27-10-2013,17.19,11
28-10-2013,46.88,30
29-10-2013,59.38,38
30-10-2013,73.44,47
31-10-2013,60.94,39
01-11-2013,40.63,26
