Data,%,Ocupadas
01-07-2018,6.25,4
02-07-2018,28.13,18
03-07-2018,37.50,24
04-07-2018,51.56,33
05-07-2018,45.31,29
06-07-2018,6.25,4
07-07-2018,21.88,14
08-07-2018,45.31,29
09-07-2018,60.94,39
10-07-2018,85.94,55
11-07-2018,56.25,36
12-07-2018,45.31,29
13-07-2018,26.56,17
14-07-2018,34.38,22
15-07-2018,18.75,12
16-07-2018,65.63,42
17-07-2018,96.88,62
18-07-2018,81.25,52
19-07-2018,71.88,46
20-07-2018,0,0
21-07-2018,0,0
22-07-2018,0,0
23-07-2018,0,0
24-07-2018,0,0
25-07-2018,0,0
26-07-2018,0,0
27-07-2018,0,0
28-07-2018,0,0
29-07-2018,0,0
30-07-2018,0,0
31-07-2018,0,0
01-08-2018,0,0
02-08-2018,0,0
03-08-2018,0,0
04-08-2018,0,0
05-08-2018,0,0
06-08-2018,0,0
07-08-2018,0,0
08-08-2018,0,0
09-08-2018,0,0
10-08-2018,0,0
11-08-2018,0,0
12-08-2018,0,0
